City,CrimeIndex,Year,latitude,longitude
"Turin, Italy",61.65,2014.05.00,45.067755,7.682489
"Naples, Italy",61.30,2014.05.00,40.835934,14.248783
"Donetsk, Ukraine",60.62,2014.05.00,48.015875,37.801341
"Dublin, Ireland",56.94,2014.05.00,53.349765,-6.260273
"Tirana, Albania",56.46,2014.05.00,41.327946,19.818532
"Marseille, France",56.32,2014.05.00,43.296174,5.369953
"Vicenza, Italy",56.09,2014.05.00,45.548831,11.547883
"Rome, Italy",55.73,2014.05.00,41.894802,12.485338
"Kharkiv, Ukraine",54.79,2014.05.00,49.991425,36.272266
"Paris, France",54.42,2014.05.00,48.85661,2.351499
"Brussels, Belgium",54.04,2014.05.00,50.846557,4.351697
"Sarajevo, Bosnia And Herzegovina",53.76,2014.05.00,43.851977,18.386687
"Nice, France",53.65,2014.05.00,43.700936,7.268391
"Moscow, Russia",53.55,2014.05.00,55.750718,37.617661
"Odessa (Odesa), Ukraine",53.16,2014.05.00,46.484658,30.732564
"Milan, Italy",52.90,2014.05.00,45.466797,9.190498
"Newcastle upon Tyne, United Kingdom",52.23,2014.05.00,54.977092,-1.614206
"Novi Sad, Serbia",51.72,2014.05.00,45.255134,19.845176
"Athens, Greece",51.46,2014.05.00,37.984149,23.727984
"Kiev (Kyiv), Ukraine",50.59,2014.05.00,50.450107,30.52405
"Saint Petersburg, Russia",50.16,2014.05.00,59.938732,30.316229
"Catania, Italy",50.01,2014.05.00,37.502236,15.08738
"Chisinau, Moldova",48.95,2014.05.00,47.012274,28.860594
"Manchester, United Kingdom",48.87,2014.05.00,53.47913,-2.244101
"Glasgow, United Kingdom",48.46,2014.05.00,55.856656,-4.243582
"Szczecin, Poland",48.12,2014.05.00,53.430182,14.550962
"Lucerne, Switzerland",46.72,2014.05.00,47.050545,8.305468
"Stockholm, Sweden",46.68,2014.05.00,59.325117,18.071094
"Birmingham, United Kingdom",46.39,2014.05.00,52.47754,-1.894053
"Sofia, Bulgaria",46.26,2014.05.00,42.697863,23.322179
"London, United Kingdom",46.24,2014.05.00,51.507322,-0.127647
"Skopje, North Macedonia",45.31,2014.05.00,41.996092,21.43165
"Lausanne, Switzerland",45.28,2014.05.00,46.521827,6.632703
"Antwerp, Belgium",44.69,2014.05.00,51.22111,4.399708
"Dnipro, Ukraine",44.49,2014.05.00,48.468022,35.041771
"Bordeaux, France",44.08,2014.05.00,44.841225,-0.580036
"Granada, Spain",43.44,2014.05.00,37.18302,-3.602192
"Nottingham, United Kingdom",43.17,2014.05.00,52.953416,-1.149277
"Barcelona, Spain",43.06,2014.05.00,41.382894,2.177432
"Belfast, United Kingdom",42.98,2014.05.00,54.596987,-5.930099
"Oslo, Norway",42.61,2014.05.00,59.913269,10.739111
"Porto, Portugal",42.37,2014.05.00,41.149451,-8.610788
"Lodz, Poland",42.34,2014.05.00,51.768732,19.456991
"Sochi, Russia",42.19,2014.05.00,43.585482,39.723109
"Gothenburg, Sweden",42.17,2014.05.00,57.707233,11.967017
"Leeds, United Kingdom",42.10,2014.05.00,53.797419,-1.543794
"Oulu, Finland",41.43,2014.05.00,65.011873,25.471681
"Lviv, Ukraine",41.22,2014.05.00,49.841952,24.031592
"Riga, Latvia",40.85,2014.05.00,56.949398,24.105185
"Novosibirsk, Russia",40.80,2014.05.00,55.028217,82.923451
"Faro, Portugal",40.16,2014.05.00,37.053757,-7.931937
"Geneva, Switzerland",40.08,2014.05.00,46.201756,6.146601
"Krakow (Cracow), Poland",40.07,2014.05.00,50.060674,19.937139
"Alicante, Spain",39.84,2014.05.00,38.353738,-0.490185
"Vladivostok, Russia",39.84,2014.05.00,43.115068,131.885577
"Budapest, Hungary",39.71,2014.05.00,47.498382,19.040471
"Florence, Italy",39.03,2014.05.00,43.769871,11.255576
"Bristol, United Kingdom",38.87,2014.05.00,51.453802,-2.597298
"Nis, Serbia",38.84,2014.05.00,43.321504,21.89573
"Lyon, France",38.58,2014.05.00,45.757814,4.832011
"Bologna, Italy",38.41,2014.05.00,44.493671,11.343035
"Bratislava, Slovakia",38.12,2014.05.00,48.135909,17.159744
"Hamburg, Germany",37.59,2014.05.00,53.550341,10.000654
"Kaunas, Lithuania",37.45,2014.05.00,54.898214,23.904482
"Belgrade, Serbia",37.05,2014.05.00,44.817813,20.456897
"Madrid, Spain",37.00,2014.05.00,40.416705,-3.703582
"Burgas, Bulgaria",36.25,2014.05.00,42.506514,27.35375
"Malmo, Sweden",35.61,2014.05.00,55.605293,13.000157
"Lisbon, Portugal",35.12,2014.05.00,38.707751,-9.136592
"Prague, Czech Republic",35.09,2014.05.00,50.087465,14.421254
"Brighton, United Kingdom",35.05,2014.05.00,50.82204,-0.137406
"Helsinki, Finland",34.91,2014.05.00,60.167409,24.942568
"Ufa, Russia",34.90,2014.05.00,54.726288,55.947727
"Leicester, United Kingdom",34.79,2014.05.00,52.63614,-1.133079
"Wroclaw, Poland",34.58,2014.05.00,51.108978,17.032669
"Iasi, Romania",33.85,2014.05.00,47.161494,27.58405
"Banja Luka, Bosnia And Herzegovina",33.67,2014.05.00,44.771982,17.189893
"Patras, Greece",33.59,2014.05.00,38.246242,21.735085
"Ljubljana, Slovenia",33.30,2014.05.00,46.049865,14.506892
"Vienna, Austria",33.29,2014.05.00,48.208354,16.372504
"Nuremberg, Germany",32.84,2014.05.00,49.453872,11.077298
"Kosice, Slovakia",32.81,2014.05.00,48.717227,21.249677
"Zagreb, Croatia",32.77,2014.05.00,45.813177,15.977048
"Gdansk, Poland",32.63,2014.05.00,54.347628,18.645203
"Brno, Czech Republic",32.55,2014.05.00,49.192244,16.611338
"Bucharest, Romania",32.28,2014.05.00,44.436141,26.10272
"Dusseldorf, Germany",32.10,2014.05.00,51.225402,6.776314
"Constanta, Romania",32.08,2014.05.00,44.172417,28.62082
"Innsbruck, Austria",32.02,2014.05.00,47.26543,11.392769
"Cork, Ireland",31.93,2014.05.00,51.897928,-8.470581
"Modena, Italy",31.88,2014.05.00,44.645889,10.925571
"Luxembourg, Luxembourg",31.88,2014.05.00,49.815868,6.129675
"Lublin, Poland",31.77,2014.05.00,51.250559,22.570102
"Malaga, Spain",31.70,2014.05.00,36.721303,-4.421637
"Amsterdam, Netherlands",31.59,2014.05.00,52.37454,4.897976
"Thessaloniki, Greece",31.43,2014.05.00,40.640317,22.935272
"Berlin, Germany",31.31,2014.05.00,52.517037,13.38886
"Tallinn, Estonia",30.93,2014.05.00,59.437216,24.745369
"Varna, Bulgaria",30.86,2014.05.00,43.206903,27.915086
"Warsaw, Poland",30.52,2014.05.00,52.231924,21.006727
"Copenhagen, Denmark",29.21,2014.05.00,55.686724,12.570072
"Valencia, Spain",29.01,2014.05.00,39.469901,-0.375951
"Poznan, Poland",28.60,2014.05.00,52.408266,16.93352
"Split, Croatia",27.56,2014.05.00,43.511556,16.43968
"Frankfurt, Germany",27.52,2014.05.00,50.110644,8.682092
"Vilnius, Lithuania",27.39,2014.05.00,54.687046,25.282911
"Seville (Sevilla), Spain",26.84,2014.05.00,37.38863,-5.995317
"Brasov, Romania",26.56,2014.05.00,45.652309,25.610275
"Reykjavik, Iceland",26.51,2014.05.00,64.145981,-21.942237
"Minsk, Belarus",25.64,2014.05.00,53.902334,27.561879
"Chania, Greece",25.62,2014.05.00,35.514183,24.018146
"Edinburgh, United Kingdom",25.56,2014.05.00,55.949563,-3.191497
"Cambridge, United Kingdom",24.69,2014.05.00,52.203482,0.123582
"Rijeka, Croatia",24.48,2014.05.00,45.326936,14.440984
"Stavanger, Norway",22.22,2014.05.00,58.968043,5.732472
"Corfu, Greece",22.04,2014.05.00,39.591337,19.859619
"Coimbra, Portugal",21.34,2014.05.00,40.21098,-8.429206
"Sliema, Malta",20.30,2014.05.00,35.912761,14.502071
"Cluj-Napoca, Romania",20.15,2014.05.00,46.769337,23.59006
"Oradea, Romania",19.98,2014.05.00,47.056927,21.932605
"Eindhoven, Netherlands",19.68,2014.05.00,51.448557,5.450123
"Leiden, Netherlands",19.49,2014.05.00,52.151816,4.481109
"Trieste, Italy",19.46,2014.05.00,45.650034,13.770656
"Zurich, Switzerland",19.40,2014.05.00,47.372396,8.542322
"Heidelberg, Germany",19.20,2014.05.00,49.409358,8.694724
"Stuttgart, Germany",18.82,2014.05.00,48.778449,9.180013
"Basel, Switzerland",18.33,2014.05.00,47.558108,7.587826
"Trondheim, Norway",18.31,2014.05.00,63.430566,10.395193
"Timisoara, Romania",18.30,2014.05.00,45.758888,21.221485
"Bergen, Norway",17.99,2014.05.00,60.394353,5.325551
"Munich, Germany",15.68,2014.05.00,48.137108,11.575382
"Dresden, Germany",14.61,2014.05.00,51.049329,13.738144
"Lugano, Switzerland",14.17,2014.05.00,46.00501,8.952028
"Rostov-na-donu, Russia",74.87,2015,47.224695,39.716486
"Bari, Italy",64.76,2015,41.125784,16.862029
"Turin, Italy",63.98,2015,45.067755,7.682489
"Naples, Italy",63.16,2015,40.835934,14.248783
"Marseille, France",61.67,2015,43.296174,5.369953
"Lille, France",59.69,2015,50.630509,3.070641
"Coventry, United Kingdom",59.11,2015,52.408181,-1.510477
"Rotterdam, Netherlands",57.28,2015,51.927798,4.488623
"Rome, Italy",55.98,2015,41.894802,12.485338
"Sarajevo, Bosnia And Herzegovina",55.40,2015,43.851977,18.386687
"Paris, France",54.90,2015,48.85661,2.351499
"Catania, Italy",54.85,2015,37.502236,15.08738
"Dublin, Ireland",54.56,2015,53.349765,-6.260273
"Moscow, Russia",54.15,2015,55.750718,37.617661
"Yekaterinburg, Russia",53.98,2015,56.839104,60.60825
"Genoa, Italy",53.91,2015,44.40726,8.933862
"Brussels, Belgium",52.85,2015,50.846557,4.351697
"Glasgow, United Kingdom",52.66,2015,55.856656,-4.243582
"Odessa (Odesa), Ukraine",52.34,2015,46.484658,30.732564
"Tirana, Albania",52.19,2015,41.327946,19.818532
"Milan, Italy",52.05,2015,45.466797,9.190498
"Kharkiv, Ukraine",51.76,2015,49.991425,36.272266
"Nice, France",51.76,2015,43.700936,7.268391
"Athens, Greece",50.54,2015,37.984149,23.727984
"Newcastle upon Tyne, United Kingdom",50.47,2015,54.977092,-1.614206
"Birmingham, United Kingdom",50.22,2015,52.47754,-1.894053
"Manchester, United Kingdom",50.13,2015,53.47913,-2.244101
"Novi Sad, Serbia",49.98,2015,45.255134,19.845176
"Lausanne, Switzerland",49.75,2015,46.521827,6.632703
"Chisinau, Moldova",49.70,2015,47.012274,28.860594
"Padova, Italy",49.38,2015,45.407717,11.873446
"Sofia, Bulgaria",48.94,2015,42.697863,23.322179
"Vladivostok, Russia",48.44,2015,43.115068,131.885577
"Novosibirsk, Russia",47.54,2015,55.028217,82.923451
"Szczecin, Poland",47.40,2015,53.430182,14.550962
